Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Христич,Павло,Романович,Чоловік,1944-07-10,Вчитель,селище Лебедин,"парк Камишова, буд. 716, Нова Одеса, 92446",628-98-06,iryna76@example.net
Арсенич,Артем,Богданович,Чоловік,1995-05-11,Письменник,хутір Сорокине,"сквер Радісний, буд. 0 кв. 26, Шептицький, 52430",+380 17 377-45-23,stanislav37@example.org
Карпа,Богуслав,Петрович,Чоловік,1945-06-04,Шериф,селище Золотоноша,"площа Скидановський узвіз, буд. 6 кв. 030, Горохів, 94357",988 31 10,orestdrozd@example.com
Фартушняк,Дан,Степанович,Чоловік,1944-04-25,Адвокат,селище Глиняни,"вулиця Павла Зеленого, буд. 49 кв. 800, Чорнобиль, 32775",024 361 77 45,myroslav35@example.com
Гайворонський,Олег,Дмитрович,Чоловік,1978-11-08,Шериф,місто Мирноград,"провулок 4-та Лінія Марії Демченко, буд. 066 кв. 25, Благовіщенське, 68653",+380 (29) 291-66-61,pchumak@example.org
Гоголь,Аврелій,Олегович,Чоловік,1961-04-03,Ді-джей,селище Алчевськ,"проспект Нафтовиків 2-й, буд. 56 кв. 036, Тульчин, 38358",+380 18 123-35-63,arkadii63@example.com
Жадан,Олег,Васильович,Чоловік,1979-02-11,Круп'є,селище Вишневе,"парк Матеріальний 1-й, буд. 705 кв. 193, Українка, 42776",840 78 33,terezasomko@example.com
Батюк,Єлисей,Степанович,Чоловік,1965-02-12,Електромонтер,село Ямпіль,"набережна Навігаційний, буд. 98 кв. 08, Тлумач, 52442",085 605 85 46,thavriushenko@example.com
Слюсар,Пилип,Іванович,Чоловік,1980-07-12,Кінолог,місто Кипуче,"узвіз Бардаха, буд. 823, Родинське, 79055",+380 21 217-04-63,arsen65@example.net
Петрик,Трохим,Іванович,Чоловік,2007-02-12,Бібліограф,хутір Марганець,"площа Новощіпний ряд, буд. 6 кв. 769, Христинівка, 94201",+380 60 932 81 73,andriidatsiuk@example.org
Вітер,Амвросій,Олегович,Чоловік,1951-03-05,Бухгалтер,селище Новомиргород,"вулиця Ігоря Бедзая, буд. 0 кв. 750, Шпола, 32008",+380 84 612 87 23,shaida@example.net
Рябовіл,Віктор,Степанович,Чоловік,1968-02-11,Режисер,хутір Білгород-Дністровський,"шосе Валіховський, буд. 56 кв. 255, Феодосія, 47892",258 30 59,artemholoborodko@example.net
Якимчук,Костянтин,Олексійович,Чоловік,1945-03-01,Дантист,місто Гайсин,"вулиця Мацієвської узвіз, буд. 24 кв. 6, Городище, 54595",+380 13 185-70-76,hvasylenko@example.org
Данченко,Гаврило,Степанович,Чоловік,2006-12-09,Електрослюсар,місто Яворів,"площа Проценка, буд. 83, Чугуїв, 55154",+380 24 489 14 57,kyrylo05@example.org
Івасюк,Євген,Дмитрович,Чоловік,1939-12-21,Скульптор,село Косів,"провулок Павла Шклярука, буд. 31, Теребовля, 18264",031 36 69,azarnikoliuk@example.net
Дергач,Пилип,Іванович,Чоловік,1988-07-11,Епідеміолог,місто Батурин,"проспект Чорноморський 6-й, буд. 523, Балта, 66042",+380 51 944-58-55,ibaidak@example.net
Рябовіл,Петро,Григорович,Чоловік,1980-06-22,Дизайнер,хутір Ромни,"проспект Юннатів 1-й, буд. 3, Нове Давидково, 16599",+380 (58) 899-26-00,oliinykzakhar@example.com
Даниленко,Іван,Михайлович,Чоловік,1954-10-12,Актор,селище Ладижин,"вулиця Сегедська, буд. 0 кв. 4, Чуднів, 67519",561-20-55,feofan94@example.com
Данько,Миколай,Олексійович,Чоловік,1958-02-23,Дипломат,село Луцьк,"провулок Привокзальний, буд. 4, Харцизьк, 54125",+380 71 762-32-78,ihnat91@example.org
Цушко,Миколай,Михайлович,Чоловік,1952-11-02,Кухар,село Ланівці,"провулок Миколи Бажана, буд. 26, Торецьк, 85601",+380 50 110-48-38,sviatoslava29@example.net
Затовканюк,Антон,Макарович,Чоловік,1956-12-30,Доцент,село Тульчин,"провулок Йозефа Прибіка, буд. 76, Рудки, 47156",+380 94 482-36-29,lkalenychenko@example.com
Рак,Гліб,Андрійович,Чоловік,1984-05-22,Машиніст,місто Березне,"площа Аптекарський, буд. 3 кв. 70, Жмеринка, 01040",009 083-85-08,vlytvynenko@example.com
Ковалюк,Сергій,Олегович,Чоловік,1983-12-10,Різноробочий,селище Багачеве,"проспект Бузковий 1-й, буд. 3, Угнів, 22817",+380 56 615 52 40,skorykrostyslav@example.net
Дрозденко,Гордій,Сергійович,Чоловік,1969-07-28,Менеджер,селище Волочиськ,"узвіз Наявний 4-й, буд. 285 кв. 38, Косів, 05915",015 827-11-98,mykolaisachenko@example.net
Гаврилюк,Альберт,Петрович,Чоловік,1955-05-09,Медик,селище Борислав,"вулиця Сміливий, буд. 63, Камінь-Каширський, 48667",067 436 15 81,rostyslav06@example.net
Ірванець,Валерій,Юрійович,Чоловік,1981-06-25,Електрик,селище Вижниця,"площа 5-та Лінія Марії Демченко, буд. 1, Здолбунів, 02611",+380 56 545 98 95,avreliifareniuk@example.net
Гоголь-Яновський,Валерій,Вікторович,Чоловік,1969-01-20,Музикант,хутір Вугледар,"проспект Сонячна, буд. 1 кв. 8, Радивилів, 38670",098 533-60-58,gieremenko@example.org
Єрьоменко,Миколай,Вікторович,Чоловік,1964-03-31,Детектив,село Сколе,"парк Гвоздичний, буд. 2 кв. 4, Підгайці, 97307",+380 (56) 916-07-44,makarradchenko@example.com
Єрьоменко,Валерій,Сергійович,Чоловік,2003-11-03,Клоун,село Буринь,"сквер Жоліо-Кюрі, буд. 6, Монастириська, 59916",081 63 08,andrii86@example.org
Конопленко,Азар,Сергійович,Чоловік,1954-04-19,Зоолог,хутір Перечин,"сквер Юхима Геллера, буд. 1, Чернігів, 45597",+380 41 206-99-59,skorykvira@example.org
Гавришкевич,Аарон,Олексійович,Чоловік,1983-11-06,Патологоанатом,хутір Дніпрорудне,"провулок Пересипська 2-га, буд. 39 кв. 942, Кременець, 86474",069 610 93 32,oleksa89@example.org
Абраменко,Юстим,Іванович,Чоловік,1964-07-20,Круп'є,місто Кагарлик,"сквер Шкільний, буд. 94, Монастириська, 45715",029 642 97 58,leontii62@example.org
Гайдамака,Борис,Вікторович,Чоловік,1940-11-11,Секретар,хутір Болград,"парк Заводська 4-та, буд. 372 кв. 96, Хирів, 73892",+380 73 588-03-72,vasylechkoiryna@example.com
Забіла,Омелян,Васильович,Чоловік,1945-06-07,Кінорежисер,хутір Галич,"сквер Адміральський, буд. 6 кв. 7, Борзна, 16074",836-76-02,prokhir90@example.org
Ірванець,Трохим,Богданович,Чоловік,1969-05-01,Дипломат,селище Глиняни,"шосе Лиманчик 2-й Лінія 1-ша, буд. 588 кв. 8, Жовті Води, 98868",030 514-46-65,hordii17@example.com
Міщенко,Леопольд,Олексійович,Чоловік,1995-05-30,Юрист,хутір Деражня,"площа Бориса Літвака, буд. 16, Васильків, 31990",004 077-36-26,azarlesyk@example.org
Верменич,Стефан,Степанович,Чоловік,1948-03-15,Історик,місто Нова Одеса,"провулок Офіцерська, буд. 31, Кривий Ріг, 72488",060 444 89 68,ydeineko@example.org
Терещенко,Мирон,Васильович,Чоловік,2001-12-01,Мистецтвознавець,селище Переяслав,"провулок Музична, буд. 00, Біляївка, 61245",+380 80 853-12-41,okhrimartiushenko@example.com
Шеремет,Феофан,Юрійович,Чоловік,2007-04-02,Електрик,місто Немирів,"шосе Керченський 1-й, буд. 19, Дубляни, 15659",619-19-28,pdubyna@example.org
Рябошапка,Амвросій,Дмитрович,Чоловік,1988-10-20,Електротехнік,селище Козятин,"проспект Моторний 3-й, буд. 62 кв. 580, Українка, 96937",+380 69 194-33-38,liubov45@example.com
Доценко,Богодар,Романович,Чоловік,2005-09-25,Перекладач,хутір Івано-Франківськ,"набережна Чорноморський 7-й, буд. 8, Гайворон, 70551",035 523 59 91,dhavrysh@example.net
Цимбал,Дан,Васильович,Чоловік,1949-07-06,Водій,хутір Шостка,"сквер Поїзна, буд. 341 кв. 5, Івано-Франківськ, 83128",001 928-55-77,semensheremet@example.net
Парасюк,Вʼячеслав,Сергійович,Чоловік,1980-04-27,Графік,місто Подільськ,"шосе Ушинського, буд. 723, Інкерман, 06118",+380 09 933-06-36,sofiiaivanchenko@example.net
Удовенко,Остап,Романович,Чоловік,1960-08-15,Актор,селище Шостка,"шосе Деревообробний 1-й, буд. 630 кв. 636, Бобринець, 83382",983-45-14,iaremavalerii@example.org
Ванченко,Соломон,Григорович,Чоловік,1981-12-12,Електромонтер,селище Люботин,"вулиця Карантинна, буд. 7 кв. 77, Інкерман, 74920",731 28 03,myron48@example.com
Башполченко,Стефан,Петрович,Чоловік,1974-10-20,Підприємець,селище Великі Мости,"узвіз Станційна 1-ша, буд. 90, Федорівка, 24878",+380 10 964 47 56,nataliia31@example.com
Цісик,Гліб,Сергійович,Чоловік,1997-08-28,Стиліст,місто Яворів,"парк Слави, буд. 5, Винники, 96056",710-69-36,kamilla58@example.com
Гаврилишин,Артем,Романович,Чоловік,1966-04-21,Композитор,селище Золочів,"проспект Травневий 4-й, буд. 2 кв. 8, Березань, 51224",+380 35 298 11 57,prykhodkoiakiv@example.com
Юрченко,Богдан,Олексійович,Чоловік,1960-07-06,Драматург,місто Хрустальний,"набережна Олександра Кошиця, буд. 72 кв. 51, Молочанськ, 17763",036 30 50,tkachvarfolomii@example.com
Туркало,Августин,Володимирович,Чоловік,1986-11-26,Інженер,селище Нова Каховка,"шосе Садова 4-та, буд. 2, Виноградів, 62765",091 779-17-07,artymtymofii@example.com
Тригуб,Федір,Михайлович,Чоловік,1947-02-13,Архітектор,хутір Великі Мости,"парк Добровольців, буд. 7 кв. 5, Тисмениця, 01307",+380 92 739 71 26,saliiihnat@example.org
Юрчук,Давид,Сергійович,Чоловік,2003-05-02,Письменник,хутір Носівка,"вулиця Перша, буд. 693 кв. 8, Голубівка, 21417",+380 (96) 915-00-45,olena22@example.org
Фесенко,Ігор,Григорович,Чоловік,1965-02-02,Маркетолог,село Липовець,"набережна Пересипська 2-га, буд. 95, Яремче, 79510",+380 55 458-80-23,iarema20@example.net
Затовканюк,Юстим,Васильович,Чоловік,1999-10-05,Піаніст,хутір Горлівка,"узвіз Василя Стуса, буд. 24 кв. 77, Болград, 02236",+380 74 469-00-47,watamaniuk@example.com
Дейнека,Павло,Іванович,Чоловік,1942-12-07,Різноробочий,селище Покров,"узвіз Успенська, буд. 558 кв. 83, Заставна, 08696",+380 (68) 457-63-92,dlutsenko@example.org
Шморгун,Степан,Вікторович,Чоловік,1951-07-12,Реставратор,село Новоселиця,"площа Академічна, буд. 1 кв. 77, Торецьк, 54599",+380 (56) 139-69-34,ierchenkoviktor@example.com
Вакарчук,Веніямин,Сергійович,Чоловік,2000-01-17,Публіцист,місто Гола Пристань,"парк Володимира Антоновича, буд. 564, Бережани, 88969",+380 45 390-19-13,ielysaveta33@example.org
Назаренко,Прохір,Макарович,Чоловік,1998-07-19,Дерун,селище Переяслав,"узвіз Рятувальників, буд. 10, Підгайці, 23229",078 985 16 78,odarkababii@example.com
Павлик,Єфрем,Олексійович,Чоловік,1958-12-30,Музикознавець,хутір Дунаївці,"площа Станційна 3-тя, буд. 98 кв. 4, Генічеськ, 30771",+380 (32) 740-37-80,piatachenkosviatoslav@example.org
Христенко,Яків,Павлович,Чоловік,1988-12-27,Головний меркшейдер,хутір Коростишів,"шосе Балтський 5-й, буд. 3 кв. 92, Пирятин, 11358",060 834 27 98,leontiinehoda@example.net
Гайда,Адам,Юрійович,Чоловік,1993-12-15,Редактор,хутір Авдіївка,"набережна Чорноморського козацтва, буд. 8, Винники, 65921",123 35 37,zorianzakusylo@example.net
Заїка,Тимофій,Федорович,Чоловік,1992-04-25,Стоматолог,селище Часів Яр,"набережна Аеропортівський 3-й, буд. 9 кв. 966, Нововолинськ, 73194",+380 14 752 87 96,savenkoiarema@example.net
Демʼянчук,Аврелій,Володимирович,Чоловік,1941-02-27,Складальник,селище Феодосія,"вулиця Дачний 1-й, буд. 89 кв. 4, Багачеве, 73974",+380 (40) 435-13-39,edyta90@example.net
Іваничук,Венедикт,Вікторович,Чоловік,1955-03-04,Філолог,хутір Костянтинівка,"парк Тупиковий 2-й, буд. 7, Чистякове, 18079",+380 (09) 057-44-01,zakharivashchenko@example.com
Бандера,Миколай,Дмитрович,Чоловік,1940-03-28,Стропальник,хутір Саки,"узвіз Адольфа Лози, буд. 6 кв. 23, Сокологірськ, 58737",+380 (49) 352-44-66,leopoldnikoliuk@example.org
Ґалаґан,Євген,Олександрович,Чоловік,1999-08-05,Реабілітолог,місто Ладижин,"шосе Центральна, буд. 95, Севастополь, 75152",074 006 66 74,adanko@example.org
Скопенко,Святослав,Федорович,Чоловік,1971-03-12,Модель,селище Енергодар,"провулок Солонцюватий, буд. 248, Златопіль, 98961",473-46-54,vakarchukdavyd@example.com
Панчук,Устим,Макарович,Чоловік,1978-12-26,Мистецтвознавець,місто Валки,"площа Почаївська, буд. 50 кв. 26, Заліщики, 57504",061 964 98 08,dereviankodanylo@example.com
Ємець,Михайло,Григорович,Чоловік,1965-08-06,Електромонтажник,селище Макіївка,"проспект Пересипська 8-ма, буд. 1, Кропивницький, 63143",049 49 92,dmytrokalenychenko@example.com
Євтушок,Орест,Васильович,Чоловік,1970-11-27,Круп'є,селище Борзна,"проспект Чорноморський, буд. 4 кв. 26, Тростянець, 19669",054 286 69 09,nataliiaiakymenko@example.org
Гавриленко,Варфоломій,Федорович,Чоловік,1947-07-22,Композитор,село Харків,"площа Керченський 2-й, буд. 5, Чугуїв, 10750",+380 74 841-64-77,zartiushenko@example.com
Єрьоменко,Аврелій,Богданович,Чоловік,2003-09-09,Бібліограф,селище Вилкове,"провулок Машинобудівний, буд. 82, Сокиряни, 79574",004 782 04 97,irenabaidak@example.net
Тригуб,Леонтій,Степанович,Чоловік,1996-07-24,Паблік рилейшнз,місто Кіцмань,"провулок Генерала Алмазова, буд. 8 кв. 35, Авдіївка, 92472",+380 54 998-10-37,hfareniuk@example.com
Цюпа,Олег,Андрійович,Чоловік,1966-08-25,Редактор,хутір Славутич,"площа Трамвайний, буд. 820, Обухів, 29618",+380 96 115-64-92,oisaienko@example.org
Артим,Вʼячеслав,Андрійович,Чоловік,1956-12-31,Секретар,селище Гола Пристань,"набережна Амбулаторна, буд. 93 кв. 9, Соснівка, 54300",+380 48 260 63 05,oleksaishchak@example.com
